Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,27p,
"C10, C11, C12, C13, C14, C16, C18, C3, C4, C7, C9",0402,11,100n,
"C15, C17, C5, C6, C8",0402,5,1u,
J1,Cirque,1,CIRQUE_Left,C2911838
J2,Cirque,1,CIRQUE_Right,C2911838
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"MS1, MS10, MS11, MS12, MS2, MS3, MS4, MS5, MS6, MS7, MS8, MS9",MedianPosition,12,~,
"R1, R5",0402,2,1k,C11702
"R10, R11, R7, R8, R9",0402,5,22k,C25768
"R12, R13",0402,2,5.1k,C25905
"R3, R4",0402,2,27,
R6,0402,1,10k,C25744
SMDSW1,small_smd_switch,1,TS-1088R-02026,C455280
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW5, SW6, SW7, SW8, SW9",PG1350,42,~,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,PCAL6524HEHZ,1,PCAL6524HEAZ,C3000497
U4,SOT-23-3,1,XC6206PxxxMR,C5446
U5,SOT-23-6,1,SRV05-4,C2836319
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz 18pF,C91749
