Designator,Mid X,Mid Y,Rotation,Layer
C1,147.451447,-101.258225,350.0,top
C10,145.413868,-115.237743,260.0,top
C12,141.751418,-107.22002,170.0,top
C13,147.640351,-103.055215,80.0,top
C14,144.429058,-115.064096,260.0,top
C15,137.33546,-106.695225,80.0,top
C16,287.981406,-114.112053,280.0,top
C17,150.88031,-112.920825,260.0,top
C18,292.51673,-113.342817,280.0,top
C19,138.992767,-106.510201,170.0,top
C2,141.053304,-103.37689,170.0,top
C20,151.60346,-104.154232,80.0,top
C3,146.655546,-102.881567,80.0,top
C4,145.743797,-113.366612,260.0,top
C5,144.75899,-113.19296,260.0,top
C6,150.386104,-116.529833,80.0,top
C7,141.537002,-110.79713,170.0,top
C8,143.77418,-113.019315,260.0,top
C9,143.44425,-114.890448,260.0,top
J1,205.066549,-109.575069,270.0,top
J2,232.448595,-109.575068,90.0,top
J3,125.568417,-46.252797,180.0,top
J4,311.946724,-46.252793,180.0,top
R1,143.052465,-103.729395,350.0,top
R10,289.119145,-113.9419,100.0,top
R11,137.160399,-101.698919,260.0,top
R12,135.729869,-108.026643,80.0,top
R13,134.636732,-107.833893,80.0,top
R2,138.37345,-101.902659,260.0,top
R3,141.793194,-114.132789,170.0,top
R4,142.150337,-112.16491,170.0,top
R5,137.307616,-114.742646,170.0,top
R6,139.515322,-115.121771,350.0,top
R7,291.384199,-113.542513,100.0,top
R8,290.251673,-113.742208,100.0,top
R9,293.644052,-113.113578,100.0,top
SMDSW1,134.561995,-111.943348,260.0,top
TRRS1,209.270818,-120.05483,270.0,top
TRRS2,228.330817,-120.08483,90.0,top
U1,148.649822,-115.319949,260.0,top
U2,147.139514,-108.250286,260.0,top
U3,289.8316381471203,-108.99449598013261,190.0,top
U4,138.686645,-108.822168,350.0,top
U5,138.815458,-112.592306,170.0,top
U6,297.071126,-110.910958,190.0,top
Y1,144.073427,-101.452085,170.0,top
