Designator,Mid X,Mid Y,Rotation,Layer
C1,116.592288,-115.805363,255.0,top
C10,106.884445,-116.682676,345.0,top
C11,95.907529,-120.280249,255.0,top
C12,98.310464,-122.906159,255.0,top
C13,102.478972,-111.371478,75.0,top
C14,96.798913,-115.485633,255.0,top
C15,121.189531,-118.708705,255.0,top
C16,253.598315,-122.762827,285.0,top
C17,118.572021,-118.793112,345.0,top
C18,251.475832,-123.341772,285.0,top
C2,111.129388,-115.097332,75.0,top
C3,99.276398,-123.164977,255.0,top
C4,101.484054,-111.1049,75.0,top
C5,98.805302,-121.056701,255.0,top
C6,105.398503,-124.829164,255.0,top
C7,96.873459,-120.539067,255.0,top
C8,97.839383,-120.797885,255.0,top
C9,99.771239,-121.315526,255.0,top
J1,167.19706113735387,-122.42099556313605,75.0,top
J2,193.3144534143584,-122.40108875380675,285.0,top
J3,76.710346,-63.625,180.0,top
R1,110.115167,-114.825575,75.0,top
R10,250.410758,-123.616931,105.0,top
R11,249.348254,-123.901633,105.0,top
R12,82.750345,-61.675533,90.0,top
R13,82.760347,-59.595534,270.0,top
R3,97.344543,-122.647341,255.0,top
R4,96.368957,-122.385926,255.0,top
R5,116.795798,-127.148013,75.0,top
R6,115.458929,-127.887195,255.0,top
R7,254.660841,-122.478135,105.0,top
R8,252.535798,-123.047531,105.0,top
R9,255.725909,-122.20296,105.0,top
SMDSW1,84.960348,-61.162839,270.0,top
U1,110.899179,-124.671219,75.0,top
U2,101.528952,-116.468279,165.0,top
U3,250.99007810889628,-118.2762608367554,105.0,top
U4,119.965927,-116.681942,165.0,top
U5,84.430351,-65.72553,270.0,top
Y1,113.849893,-115.453592,165.0,top
