Ref,Val,Package,PosX,PosY,Rot,Side
"C1","27p","C_0402_1005Metric",116.592288,-115.805363,-105.000000,top
"C2","27p","C_0402_1005Metric",111.129388,-115.097332,75.000000,top
"C3","100n","C_0402_1005Metric",99.276398,-123.164977,-105.000000,top
"C4","100n","C_0402_1005Metric",101.484054,-111.104900,75.000000,top
"C5","1u","C_0402_1005Metric",98.805302,-121.056701,-105.000000,top
"C6","1u","C_0402_1005Metric",105.398503,-124.829164,-105.000000,top
"C7","100n","C_0402_1005Metric",96.873459,-120.539067,-105.000000,top
"C8","1u","C_0402_1005Metric",97.839383,-120.797885,-105.000000,top
"C9","100n","C_0402_1005Metric",99.771239,-121.315526,-105.000000,top
"C10","100n","C_0402_1005Metric",106.884445,-116.682676,-15.000000,top
"C11","100n","C_0402_1005Metric",95.907529,-120.280249,-105.000000,top
"C12","100n","C_0402_1005Metric",98.310464,-122.906159,-105.000000,top
"C13","100n","C_0402_1005Metric",102.478972,-111.371478,75.000000,top
"C14","100n","C_0402_1005Metric",96.798913,-115.485633,-105.000000,top
"C15","1u","C_0402_1005Metric",121.189531,-118.708705,-105.000000,top
"C16","100n","C_0402_1005Metric",253.598315,-122.762827,-75.000000,top
"C17","1u","C_0402_1005Metric",118.572021,-118.793112,-15.000000,top
"C18","100n","C_0402_1005Metric",251.475832,-123.341772,-75.000000,top
"J1","CIRQUE_Left","Cirque",167.100951,-122.395245,-105.000000,top
"J2","CIRQUE_Right","Cirque",193.410564,-122.375336,105.000000,top
"J3","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",76.710346,-62.295531,180.000000,top
"MS1","~","MedianPosition",60.835215,-96.563243,0.000000,top
"MS2","~","MedianPosition",60.835210,-113.563249,0.000000,top
"MS3","~","MedianPosition",78.835213,-76.248249,180.000000,top
"MS4","~","MedianPosition",78.835211,-93.248242,180.000000,top
"MS5","~","MedianPosition",154.387027,-101.489362,-15.000000,top
"MS6","~","MedianPosition",149.987105,-117.910104,-15.000000,top
"MS7","~","MedianPosition",299.681647,-96.563239,0.000000,top
"MS8","~","MedianPosition",299.681637,-113.563245,0.000000,top
"MS9","~","MedianPosition",281.681642,-76.248246,180.000000,top
"MS10","~","MedianPosition",281.681645,-93.248237,180.000000,top
"MS11","~","MedianPosition",206.129817,-101.489375,15.000000,top
"MS12","~","MedianPosition",210.529734,-117.910108,15.000000,top
"R1","1k","R_0402_1005Metric",110.115167,-114.825575,75.000000,top
"R3","27","R_0402_1005Metric",97.344543,-122.647341,-105.000000,top
"R4","27","R_0402_1005Metric",96.368957,-122.385926,-105.000000,top
"R5","1k","R_0402_1005Metric",116.795798,-127.148013,75.000000,top
"R6","10k","R_0402_1005Metric",115.458929,-127.887195,-105.000000,top
"R7","22k","R_0402_1005Metric",254.660841,-122.478135,105.000000,top
"R8","22k","R_0402_1005Metric",252.535798,-123.047531,105.000000,top
"R9","22k","R_0402_1005Metric",255.725909,-122.202960,105.000000,top
"R10","22k","R_0402_1005Metric",250.410758,-123.616931,105.000000,top
"R11","22k","R_0402_1005Metric",249.348254,-123.901633,105.000000,top
"R12","5.1k","R_0402_1005Metric",82.750345,-61.675533,90.000000,top
"R13","5.1k","R_0402_1005Metric",82.760347,-59.595534,-90.000000,top
"ROT1","RotaryEncoder_Switch","rotary_encoder",161.575401,-153.633978,133.000000,top
"ROT2","RotaryEncoder_Switch","rotary_encoder",127.298530,-133.038352,165.000000,top
"ROT3","RotaryEncoder_Switch","rotary_encoder",198.941445,-153.633979,-133.000000,top
"ROT4","RotaryEncoder_Switch","rotary_encoder",233.218323,-133.038354,-165.000000,top
"SMDSW1","TS-1088R-02026","small_smd_switch",84.960348,-61.162839,-90.000000,top
"TRRS1","AudioJack4","TRRS-PJ-320A-dual",173.275854,-88.950915,-15.000000,top
"TRRS2","AudioJack4","TRRS-PJ-320A-dual",191.780868,-87.734459,15.000000,top
"U1","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",110.899179,-124.671219,165.000000,top
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",101.528952,-116.468279,165.000000,top
"U3","PCAL6524HEAZ","PCAL6524HEHZ",251.020027,-118.294530,-165.000000,top
"U4","XC6206PxxxMR","SOT-23-3",119.965927,-116.681942,-15.000000,top
"U5","SRV05-4","SOT-23-6",84.430351,-65.725530,0.000000,top
"Y1","12MHz 18pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",113.849893,-115.453592,165.000000,top
